nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
TuPOD,tupod,https://www.nanosats.eu/sat/tupod.html,2016-12-09,"Reentry 2017-09-08. Was operational until 2017-01-24 by design, batteries were drained.","Reentered, Was operational",—,não,,,Batteries were drained and no solar panels to recharge.,GAUSS,Italy,3U,Deploy 2 TubeSats and Morse code transmissions.
i-INSPIRE II,i-inspire-ii,https://www.nanosats.eu/sat/i-inspire-ii.html,2017-04-18,Reentry 2018-11-24. Was operational. Saved with 25m antenna after space weather event in July 2017. Was quiet for 1.5 months. (Last DK3WN report 2018-11-23),"Reentered, Operational",A(fraco) - câmera sem alvo declarado,não,Communications damaged after space weather event in July 2017.,http://www.acser.unsw.edu.au/sites/acser/files/CAIRNS_INSPIRE_CubeSatCoonf_2019_2.pdf,Saved with 25m antenna. Space weather event in July 2017. Spacecraft was quiet for 1.5 months. Some unstated damage to communications system.,University of Sydney,,2U,Part of QB50 to study lower termosphere.
nSIGHT,nsight,https://www.nanosats.eu/sat/nsight.html,2017-04-18,Reentry 2020-04-25. Was operational (Last DK3WN report 2019-05-13. Checked 2019-05-27),"Reentered, Operational",A - sensoriamento remoto,sim,"Deployed on 25 May 2017, the satellite has spent almost 3 years in orbit capturing and downloading over 40 high-quality images.",https://africanews.space/farewell-to-nsight-the-rockstar-cubesat/,,Space Advisory Company,,2U,Part of QB50 to study lower termosphere.
BIRD-B,brac-onnesha,https://www.nanosats.eu/sat/brac-onnesha.html,2017-06-03,"Reentry 2019-05-06. Semi-operational due to no uplink? (Last DK3WN report 2018-10-08. Last SatNOGS report 2019-05-09, but that is after decay)","Reentered, Semi-operational",A - sensoriamento remoto,sim,"No uplink success.
Weak CW signals.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,,Brac University,Bangladesh,1U,Amateur radio communications and educational training.
BIRD-G,ghanasat-1,https://www.nanosats.eu/sat/ghanasat-1.html,2017-06-03,Reentry 2019-05-22. No signal (DK3WN writes that nothing heard from BIRD G and unable to find any confirmed reports),"Reentered, No signal",A - sensoriamento remoto,sim,"No uplink success.
Weak CW signals.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,,Kyushu Institute of Technology,Ghana,1U,Amateur radio communications and educational training.
BIRD-J,toki,https://www.nanosats.eu/sat/toki.html,2017-06-03,Reentry 2019-05-03. Was semi-operational due to no uplink until 2018-XX-XX? (Last DK3WN report 2018-02-03),"Reentered, Was semi-operational",A - sensoriamento remoto,sim,"No uplink success.
Weak CW signals.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,,Kyushu Institute of Technology,,1U,Amateur radio communications and educational training.
BIRD-M,mazaalai,https://www.nanosats.eu/sat/mazaalai.html,2017-06-03,Reentry 2019-05-11. Was operational (Last DK3WN report 2018-10-08),"Reentered, Semi-operational",A - sensoriamento remoto,sim,"No uplink success.
Weak CW signals.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,,Kyushu Institute of Technology,Mongolia,1U,Amateur radio communications and educational training.
BIRD-N,nigeria-edusat-1,https://www.nanosats.eu/sat/nigeria-edusat-1.html,2017-06-03,Reentry 2019-05-13. Was semi-operational due to no uplink? (Last DK3WN report 2018-02-02),"Reentered, Semi-operational",A - sensoriamento remoto,sim,"No uplink success.
Weak CW signals.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,,Federal University of Technology Akure,Nigeria,1U,Amateur radio communications and educational training.
Diamond - Blue,diamond,https://www.nanosats.eu/sat/diamond.html,2017-06-23,,"Reentered, Operational",B - coleta de plataformas (DCS/IoT); C - sinais cooperativos (AIS/ADS-B/RF),sim,"These are the smallest satellites in the world to demonstrate real-time VOIP calls, IM, Financial transactions, IoT data pickups, Inter-satellite links, SigInt, spectrum monitoring from space, and differential drag formation flying.",https://www.linkedin.com/feed/update/urn:li:activity:7079012081454227456/?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7079012081454227456%29,,Sky and Space,UK,3U,"Demonstrate voice, M2M and IoT communication services and ISL (Inter Satellite Link)."
Diamond - Green,diamond,https://www.nanosats.eu/sat/diamond.html,2017-06-23,,"Reentered, Operational",B - coleta de plataformas (DCS/IoT); C - sinais cooperativos (AIS/ADS-B/RF),sim,"These are the smallest satellites in the world to demonstrate real-time VOIP calls, IM, Financial transactions, IoT data pickups, Inter-satellite links, SigInt, spectrum monitoring from space, and differential drag formation flying.",https://www.linkedin.com/feed/update/urn:li:activity:7079012081454227456/?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7079012081454227456%29,,Sky and Space,UK,3U,"Demonstrate voice, M2M and IoT communication services and ISL (Inter Satellite Link)."
Diamond - Red,diamond,https://www.nanosats.eu/sat/diamond.html,2017-06-23,,"Reentered, Operational",B - coleta de plataformas (DCS/IoT); C - sinais cooperativos (AIS/ADS-B/RF),sim,"These are the smallest satellites in the world to demonstrate real-time VOIP calls, IM, Financial transactions, IoT data pickups, Inter-satellite links, SigInt, spectrum monitoring from space, and differential drag formation flying.",https://www.linkedin.com/feed/update/urn:li:activity:7079012081454227456/?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7079012081454227456%29,,Sky and Space,UK,3U,"Demonstrate voice, M2M and IoT communication services and ISL (Inter Satellite Link)."
PACSCISAT,pacscisat,https://www.nanosats.eu/sat/pacscisat.html,2017-06-23,"Reentry 2023-03-14.Was operational until 2017-09-XX, 3 months? (Tyvak, CubeSat Developers Worksshop 2018)","Reentered, Retired, Was operational",—,não,"Terran Orbital's PACSCISAT, built for Pacific Scientific Energetic Materials Company, has successfully demonstrated the reliability and precision of PacSci EMC’s satellite products in space. This self-funded mission provided crucial flight heritage, ensuring confidence in their electronic controllers and propulsion systems.",https://www.linkedin.com/posts/terranorbital_terranorbital-pacsciemc-spacetech-activity-7371226015983112192-Ko8V?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,Tyvak,,3U,Technology demonstration for deorbiting.
Pegasus,pegasus,https://www.nanosats.eu/sat/pegasus.html,2017-06-23,Reentry 2024-01-08. Was operational (Telemetry on official website last updated on 2023-06-07 last checked 2023-06-08),"Reentered, Operational",—,não,"On Jan 8th, the first CubeSat, the FHWN Aerospace Engineering space mission PEGASUS ended with the radiant burning up of the satellite, the very first 2U CubeSat built and launched by Austria, in Earth’s atmosphere.
Communication and data download was possible unitl 1 hour prior to burn up.
Since its launch from the Indian Space Center in Sriharikota in 2017, the satellite has delivered valuable data to the ground station at the FHWN on a daily basis. On Jan 12th aerospace students, alumni and project partners gathered together for a burn-up-party, “mourning” the end of Pegasus and celebrating more than 6.5 years in orbit. A big THANKS to all the students, staff and our external partners for all the support and energy you put into this project.
PEGASUS served as a practical learning object and provided data until one hour before it burned up. Our students not only learned how to build, communicate with and control a satellite, but also how to analyze and rectify problems with the satellite in orbit from Earth.",https://www.linkedin.com/posts/aerospace-engineering_nanosatellites-cubesat-aerospaceengineering-activity-7156267726007676928-zvOx?utm_source=share&utm_medium=member_desktop | http://mstl.atl.calpoly.edu/~workshop/archive/2024/presentations/2024_Day1_Session1_%20Scharlemann.pdf | https://www.linkedin.com/posts/aerospace-engineering_nanosatellites-cubesat-aerospaceengineering-activity-7156267726007676928-zvOx?utm_source=share&utm_medium=member_desktop | https://www.linkedin.com/posts/aerospace-engineering_nanosatellites-cubesat-aerospaceengineering-activity-7156267726007676928-zvOx?utm_source=share&utm_medium=member_desktop,,University of Applied Sciences Wiener Neustadt,Austria,2U,Part of QB50 to study lower termosphere.
skCube,skcube,https://www.nanosats.eu/sat/skcube.html,2017-06-23,Reentry 2023-11-14. Was semi-operational until 2019-01-12. Was operational until 2017-07-08. (Public news),"Reentered, Was semi-operational, Was operational",A(fraco) - câmera sem alvo declarado,não,,,On-Board Computer stopped working. Communications module continued sending beacon. Both thought to be due to radiation as effects have been noticed from South-Atlantic anomaly.,Slovak Organisation for Space Activities,Slovakia,1U,Observe the ultraviolet radiation upper atmosphere on the night side of the Earth
Venta-1,venta-1,https://www.nanosats.eu/sat/venta-1.html,2017-06-23,"Reentry 2024-01-09. Was semi-operational until 2019-02-XX? Was operational until 2017-06-25, 2 days. (Public news and one DK3WN report 2017-06-24)","Reentered, Was semi-operational, Was operational",A(fraco) - câmera sem alvo declarado; C - sinais cooperativos (AIS/ADS-B/RF),sim,,,Rotation issues have thought to be caused battery charging issues resulting in negative power budget.,University of Applied Sciences Bremen,Latvia,7.5 kg,Educational training and AIS receiver.
VZLUSAT-1,vzlusat-1,https://www.nanosats.eu/sat/vzlusat-1.html,2017-06-23,Reentry 2023-06-06. Was operational (Official news on 2023-06-07 about communicating until last day),"Reentered, Operational",—,não,"""The overall measurement showed very stable material properties of the radiation shield and the composite panel. The composite material from the 5M company thus found its way into other ESA satellites. Surface coating technology continues to be developed at TTS and RITEi in cooperation with ESA,""
adds Vladimír Dániel.
VZLUSAT-1 also helped with a number of experiments. One of them was, for example, the on-board X-ray telescope, consisting of a multifoil wide-angle crayfish-eye system that covers radiation energies of 3–30 keV
. “Its development continued in the ESA SR-CTP project for three years under the leadership of the company",https://www.vzlu.cz/vzlusat-1-druha-nejdele-fungujici-druzice-velikosti-2u-sveta-shorel-v-atmosfere-stal-se-na-obezne-draze-nejdele-fungujici-ceskou-druzici-vubec/ | https://www.vzlu.cz/vzlusat-1-druha-nejdele-fungujici-druzice-velikosti-2u-sveta-shorel-v-atmosfere-stal-se-na-obezne-draze-nejdele-fungujici-ceskou-druzici-vubec/ | https://www.vzlu.cz/vzlusat-1-druha-nejdele-fungujici-druzice-velikosti-2u-sveta-shorel-v-atmosfere-stal-se-na-obezne-draze-nejdele-fungujici-ceskou-druzici-vubec/,,Aerospace Research and Test Establishment,,2U,Part of QB50 to study lower termosphere.
Ecuador-UTE-YuZGU,ecuador-ute-yuzgu,https://www.nanosats.eu/sat/ecuador-ute-yuzgu.html,2017-07-14,"Was semi-operational until 2017-07-30, 2 weeks.",Was semi-operational,—,não,,,Low batteries. Failed due to a malfunctioning Fregat attitude control thruster. Damage to CubeSat solar cells?,Tecnologica Equinoccial University (UTE),Ecuador,1U,Educational training and amateur radio mission.
